#           time             counts unit events
     0.050123548         29,308,435      branches                                                    
     0.100300844         31,187,151      branches                                                    
     0.150472266         31,635,808      branches                                                    
     0.200583471         30,772,520      branches                                                    
     0.250744256         30,408,486      branches                                                    
     0.300905128         29,790,045      branches                                                    
     0.351068681         30,328,853      branches                                                    
     0.401232742         31,768,539      branches                                                    
     0.451403378         34,496,349      branches                                                    
     0.501583213         36,196,789      branches                                                    
     0.551738093         36,026,294      branches                                                    
     0.601905370         36,387,132      branches                                                    
     0.652066520         34,947,482      branches                                                    
     0.702228217         35,418,692      branches                                                    
     0.752386598         35,998,623      branches                                                    
     0.802558080         35,311,693      branches                                                    
     0.852733489         35,777,132      branches                                                    
     0.902896092         34,937,127      branches                                                    
     0.953060718         35,113,730      branches                                                    
     1.003224883         34,643,794      branches                                                    
     1.053387545         34,708,289      branches                                                    
     1.103548601         33,225,384      branches                                                    
     1.153715101         30,100,885      branches                                                    
     1.203884234         33,947,697      branches                                                    
     1.254050834         40,584,748      branches                                                    
#           time             counts unit events
     1.304213379         40,652,163      branches                                                    
     1.354380499         40,502,576      branches                                                    
     1.404543482         35,242,012      branches                                                    
     1.454717139         33,810,781      branches                                                    
     1.504877507         35,543,184      branches                                                    
     1.555044095         35,983,584      branches                                                    
     1.605206685         35,906,016      branches                                                    
     1.655380741         35,242,420      branches                                                    
     1.705566485         35,269,160      branches                                                    
     1.755746042         34,729,881      branches                                                    
     1.805925744         34,192,348      branches                                                    
     1.856107702         32,899,722      branches                                                    
     1.906275056         34,680,497      branches                                                    
     1.956454216         35,461,463      branches                                                    
     2.006621325         35,877,518      branches                                                    
     2.056806168         35,612,450      branches                                                    
     2.106980768         35,651,901      branches                                                    
     2.157157634         33,475,877      branches                                                    
     2.207329950         34,685,660      branches                                                    
     2.257499582         34,414,844      branches                                                    
     2.307672840         34,826,556      branches                                                    
     2.357838788         34,089,818      branches                                                    
     2.408008585         35,138,228      branches                                                    
     2.458176576         34,109,619      branches                                                    
     2.508306615         34,713,424      branches                                                    
#           time             counts unit events
     2.558481644         34,436,196      branches                                                    
     2.608604624         34,904,978      branches                                                    
     2.658779906         34,628,619      branches                                                    
     2.708949538         34,354,014      branches                                                    
     2.759125283         34,505,705      branches                                                    
     2.809295433         33,858,466      branches                                                    
     2.859492009         33,861,584      branches                                                    
     2.909675304         33,778,294      branches                                                    
     2.959804111         34,919,957      branches                                                    
     3.009977769         34,270,516      branches                                                    
     3.060105325         34,813,137      branches                                                    
     3.110278651         31,786,764      branches                                                    
     3.160456202         34,996,375      branches                                                    
     3.210629658         35,320,935      branches                                                    
     3.260805404         35,360,101      branches                                                    
     3.310996053         35,068,415      branches                                                    
     3.361178187         34,981,733      branches                                                    
     3.411378016         35,320,280      branches                                                    
     3.461577284         35,266,657      branches                                                    
     3.511707508         34,815,253      branches                                                    
     3.561885677         34,952,307      branches                                                    
     3.612024103         35,094,897      branches                                                    
     3.662212069         35,169,639      branches                                                    
     3.712399769         35,831,504      branches                                                    
     3.762590895         35,448,543      branches                                                    
#           time             counts unit events
     3.812776224         35,369,931      branches                                                    
     3.862967818         35,296,365      branches                                                    
     3.913154134         35,261,048      branches                                                    
     3.963353381         35,263,923      branches                                                    
     4.013537883         35,052,027      branches                                                    
     4.063735010         35,849,583      branches                                                    
     4.113914343         35,005,973      branches                                                    
     4.164098947         32,288,961      branches                                                    
     4.214287130         31,851,952      branches                                                    
     4.264424303         34,661,190      branches                                                    
     4.314600313         31,912,686      branches                                                    
     4.364781363         31,707,175      branches                                                    
     4.414976054         31,329,501      branches                                                    
     4.465161588         32,726,187      branches                                                    
     4.515346049         27,336,617      branches                                                    
     4.565517353         24,821,445      branches                                                    
     4.615659731         30,599,413      branches                                                    
     4.665841916         30,010,262      branches                                                    
     4.716021115         28,545,290      branches                                                    
     4.766200305         28,478,039      branches                                                    
     4.816386667         29,191,893      branches                                                    
     4.866579630         33,001,511      branches                                                    
     4.916709212         36,563,845      branches                                                    
     4.966881531         33,165,996      branches                                                    
     5.017073127         28,261,090      branches                                                    
#           time             counts unit events
     5.067259387         21,609,242      branches                                                    
     5.117446487         20,495,171      branches                                                    
     5.167623201         33,775,690      branches                                                    
     5.217796795         33,373,936      branches                                                    
     5.267974234         34,374,535      branches                                                    
     5.318166449         31,916,676      branches                                                    
     5.368305205         34,660,641      branches                                                    
     5.418499296         22,684,678      branches                                                    
     5.468635801         20,702,887      branches                                                    
     5.518772580         22,397,246      branches                                                    
     5.568900469         32,168,818      branches                                                    
     5.619015047         33,768,220      branches                                                    
     5.669139503         32,480,265      branches                                                    
     5.719261297         33,521,730      branches                                                    
     5.769371387         33,523,414      branches                                                    
     5.819503216         35,635,111      branches                                                    
     5.869616872         37,102,868      branches                                                    
     5.919755061         33,276,992      branches                                                    
     5.969866273         33,573,948      branches                                                    
     6.019988428         32,554,370      branches                                                    
     6.070096407         33,691,050      branches                                                    
     6.120205946         33,702,261      branches                                                    
     6.170321217         31,426,708      branches                                                    
     6.220424937         34,378,479      branches                                                    
     6.270544987         33,530,361      branches                                                    
#           time             counts unit events
     6.320655328         32,487,961      branches                                                    
     6.370789347         32,536,974      branches                                                    
     6.420903119         34,072,525      branches                                                    
     6.471008169         33,716,285      branches                                                    
     6.521120605         33,157,506      branches                                                    
     6.571221971         34,374,494      branches                                                    
     6.621333228         32,284,590      branches                                                    
     6.671440629         33,781,556      branches                                                    
     6.721549281         30,874,131      branches                                                    
     6.771667440         30,091,086      branches                                                    
     6.821780380         31,723,422      branches                                                    
     6.871905669         34,658,083      branches                                                    
     6.922010359         34,019,270      branches                                                    
     6.972130194         33,989,084      branches                                                    
     7.022248526         34,403,680      branches                                                    
     7.072357634         32,557,427      branches                                                    
     7.122474429         33,403,293      branches                                                    
     7.172585657         34,564,047      branches                                                    
     7.222696026         34,636,670      branches                                                    
     7.272798779         33,591,185      branches                                                    
     7.322913790         35,067,161      branches                                                    
     7.373040286         34,742,840      branches                                                    
     7.423160363         33,579,878      branches                                                    
     7.473271073         33,275,597      branches                                                    
     7.523372542         33,645,934      branches                                                    
#           time             counts unit events
     7.573479307         33,079,456      branches                                                    
     7.623589878         31,816,914      branches                                                    
     7.673710038         32,562,379      branches                                                    
     7.723820919         32,752,941      branches                                                    
     7.773931678         32,790,187      branches                                                    
     7.824045351         32,517,343      branches                                                    
     7.874150300         32,976,876      branches                                                    
     7.924291152         33,102,518      branches                                                    
     7.974399634         32,797,798      branches                                                    
     8.024504725         32,589,749      branches                                                    
     8.074622335         34,301,153      branches                                                    
     8.124727588         34,082,068      branches                                                    
     8.174828320         35,081,596      branches                                                    
     8.224943756         33,639,832      branches                                                    
     8.275046985         34,056,570      branches                                                    
     8.325150749         34,598,054      branches                                                    
     8.375259943         33,901,444      branches                                                    
     8.425370203         33,250,284      branches                                                    
     8.475442958         35,816,597      branches                                                    
     8.525550622         33,655,086      branches                                                    
     8.575657237         33,885,899      branches                                                    
     8.625762712         33,964,789      branches                                                    
     8.675866887         34,318,035      branches                                                    
     8.725973213         34,064,078      branches                                                    
     8.776083369         34,754,357      branches                                                    
#           time             counts unit events
     8.826186561         33,684,770      branches                                                    
     8.876294809         33,456,526      branches                                                    
     8.926430643         35,011,858      branches                                                    
     8.976533842         34,346,017      branches                                                    
     9.026641269         34,759,901      branches                                                    
     9.076744956         35,395,367      branches                                                    
     9.126863990         34,337,764      branches                                                    
     9.176977531         35,346,253      branches                                                    
     9.227082932         35,443,394      branches                                                    
     9.277190238         34,387,595      branches                                                    
     9.327293316         34,877,995      branches                                                    
     9.377408092         35,613,369      branches                                                    
     9.427513422         35,301,954      branches                                                    
     9.477621543         35,291,903      branches                                                    
     9.527729458         35,421,288      branches                                                    
     9.577837109         34,092,892      branches                                                    
     9.627948061         35,272,657      branches                                                    
     9.678052537         35,497,761      branches                                                    
     9.728181989         35,412,345      branches                                                    
     9.778291461         35,474,962      branches                                                    
     9.828396737         35,471,135      branches                                                    
     9.878501335         35,334,705      branches                                                    
     9.928612768         35,076,730      branches                                                    
     9.978716436         34,991,758      branches                                                    
    10.028827685         35,182,264      branches                                                    
#           time             counts unit events
    10.078944439         35,385,352      branches                                                    
    10.129066778         35,146,973      branches                                                    
    10.179191001         35,370,043      branches                                                    
    10.229303461         35,499,362      branches                                                    
    10.279408909         33,761,729      branches                                                    
    10.329521526         34,789,485      branches                                                    
    10.379630816         35,828,599      branches                                                    
    10.429743059         32,448,969      branches                                                    
    10.479857975         32,445,823      branches                                                    
    10.529993354         33,718,124      branches                                                    
    10.580116474         34,245,089      branches                                                    
    10.630231986         34,397,306      branches                                                    
    10.680345655         33,843,513      branches                                                    
    10.730475232         34,061,065      branches                                                    
    10.780588180         33,385,476      branches                                                    
    10.830713271         36,878,603      branches                                                    
