#           time             counts unit events
     0.050076219        179,265,222      cycles                                                      
     0.100297876        187,822,535      cycles                                                      
     0.150415588        185,876,570      cycles                                                      
     0.200582658        188,289,336      cycles                                                      
     0.250696367        186,106,284      cycles                                                      
     0.300859624        187,506,123      cycles                                                      
     0.351023446        186,434,582      cycles                                                      
     0.401184689        188,454,838      cycles                                                      
     0.451357196        187,860,801      cycles                                                      
     0.501513786        190,568,797      cycles                                                      
     0.551682806        188,878,438      cycles                                                      
     0.601841890        187,899,304      cycles                                                      
     0.651998454        188,509,337      cycles                                                      
     0.702155064        190,638,550      cycles                                                      
     0.752319892        188,311,175      cycles                                                      
     0.802482715        193,234,813      cycles                                                      
     0.852638271        192,861,506      cycles                                                      
     0.902805382        190,245,207      cycles                                                      
     0.952967613        185,543,640      cycles                                                      
     1.003125596        186,367,333      cycles                                                      
     1.053282226        189,373,626      cycles                                                      
     1.103449663        190,437,915      cycles                                                      
     1.153650000        192,118,761      cycles                                                      
     1.203809124        191,929,735      cycles                                                      
     1.253979419        192,280,881      cycles                                                      
#           time             counts unit events
     1.304135152        190,224,964      cycles                                                      
     1.354306620        192,864,613      cycles                                                      
     1.404464461        190,856,062      cycles                                                      
     1.454632101        189,836,191      cycles                                                      
     1.504797468        190,235,138      cycles                                                      
     1.554956696        191,312,714      cycles                                                      
     1.605114548        186,327,479      cycles                                                      
     1.655277107        189,057,907      cycles                                                      
     1.705444899        192,004,405      cycles                                                      
     1.755600050        191,277,127      cycles                                                      
     1.805769102        190,711,288      cycles                                                      
     1.855936329        191,677,400      cycles                                                      
     1.906101564        188,392,998      cycles                                                      
     1.956268618        193,025,195      cycles                                                      
     2.006438845        192,394,031      cycles                                                      
     2.056599141        191,825,599      cycles                                                      
     2.106756884        190,711,983      cycles                                                      
     2.156926891        193,037,057      cycles                                                      
     2.207102528        192,304,011      cycles                                                      
     2.257269722        191,842,642      cycles                                                      
     2.307436767        190,540,330      cycles                                                      
     2.357603871        192,736,332      cycles                                                      
     2.407780938        191,575,440      cycles                                                      
     2.457944463        189,046,894      cycles                                                      
     2.508099901        185,622,166      cycles                                                      
#           time             counts unit events
     2.558257153        190,443,158      cycles                                                      
     2.608420149        186,055,098      cycles                                                      
     2.658578910        188,233,380      cycles                                                      
     2.708735305        187,940,541      cycles                                                      
     2.758892953        190,647,348      cycles                                                      
     2.809063097        192,845,806      cycles                                                      
     2.859221613        190,725,482      cycles                                                      
     2.909389021        189,561,301      cycles                                                      
     2.959553861        192,634,762      cycles                                                      
     3.009718951        192,388,656      cycles                                                      
     3.059874038        191,864,201      cycles                                                      
     3.110041584        189,371,329      cycles                                                      
     3.160198670        193,005,040      cycles                                                      
     3.210369586        191,445,024      cycles                                                      
